[General]
AudioFilename: virtual

[Metadata]
EOS
ginkiha
Genesis
bms of fighters bof
73
0

[Events]
//Background and Video events
0,0,"back.png",0,0
//Break Periods
//Storyboard Layer 0 (Background)
//Storyboard Layer 1 (Fail)
//Storyboard Layer 2 (Pass)
//Storyboard Layer 3 (Foreground)
//Storyboard Layer 4 (Overlay)
//Storyboard Sound Samples
Sample,1371,0,"hbacksound_0.ogg",70
Sample,2400,0,"p3_0001.ogg",70
Sample,3428,0,"p3_0002.ogg",70
Sample,6171,0,"p3_0005.ogg",70
Sample,10971,0,"hbacksound_1.ogg",70
Sample,22971,0,"violinL_0012.ogg",70
Sample,23057,0,"violinL_0013.ogg",70
Sample,23142,0,"violinL_0014.ogg",70
Sample,23228,0,"violinL_0015.ogg",70
Sample,23314,0,"violinL_0016.ogg",70
Sample,25371,0,"violinL_0017.ogg",70
Sample,26057,0,"violinL_0018.ogg",70
Sample,27428,0,"violinL_0019.ogg",70
Sample,28114,0,"violinL_0020.ogg",70
Sample,28799,0,"violinL_0021.ogg",70
Sample,31199,0,"violinL_0022.ogg",70
Sample,31285,0,"violinL_0023.ogg",70
Sample,31371,0,"violinL_0024.ogg",70
Sample,31457,0,"violinL_0025.ogg",70
Sample,31542,0,"violinL_0026.ogg",70
Sample,34285,0,"hbacksound_2.ogg",70
Sample,56228,0,"hbacksound_3.ogg",70
Sample,78171,0,"hbacksound_4.ogg",70
Sample,78771,0,"synth2_0002.ogg",70
Sample,84257,0,"synth2_0002.ogg",70
Sample,94457,0,"dummy.wav",70
Sample,101485,0,"hbacksound_5.ogg",70
Sample,124799,0,"hbacksound_6.ogg",70
Sample,2057,0,"piano_sus_4.ogg",100
Sample,2571,0,"piano_sus_7.ogg",100
Sample,2742,0,"piano_sus_8.ogg",100
Sample,3428,0,"piano_sus_12.ogg",100
Sample,4114,0,"p3_0003.ogg",100
Sample,4800,0,"piano_sus_20.ogg",100
Sample,5314,0,"piano_sus_23.ogg",100
Sample,5485,0,"piano_sus_24.ogg",100
Sample,5828,0,"piano_sus_26.ogg",100
Sample,7371,0,"p2_0008.ogg",100
Sample,7885,0,"piano_sus_46.ogg",100
Sample,8914,0,"piano_sus_36.ogg",100
Sample,9771,0,"piano_sus_41.ogg",100
Sample,9942,0,"piano_sus_50.ogg",100
Sample,10285,0,"piano_sus_52.ogg",100
Sample,10457,0,"piano_sus_53.ogg",100
Sample,10800,0,"piano_sus_55.ogg",100
Sample,11142,0,"piano_sus_57.ogg",100
Sample,11657,0,"p3_0011.ogg",100
Sample,12000,0,"p2_0011.ogg",100
Sample,12000,0,"piano_sus_62.ogg",100
Sample,12514,0,"dummy.wav",100
Sample,12514,0,"dummy.wav",100
Sample,12514,0,"synth_0044.ogg",100
Sample,12685,0,"dummy.wav",100
Sample,12685,0,"synth_0045.ogg",100
Sample,13028,0,"dummy.wav",100
Sample,13028,0,"synth_0047.ogg",100
Sample,13371,0,"dummy.wav",100
Sample,13542,0,"dummy.wav",100
Sample,13714,0,"dummy.wav",100
Sample,13885,0,"dummy.wav",100
Sample,14057,0,"dummy.wav",100
Sample,14571,0,"synth_0054.ogg",100
Sample,15257,0,"synth_0057.ogg",100
Sample,15428,0,"dummy.wav",100
Sample,15600,0,"synth_0058.ogg",100
Sample,15771,0,"dummy.wav",100
Sample,15771,0,"synth_0059.ogg",100
Sample,15942,0,"dummy.wav",100
Sample,16114,0,"dummy.wav",100
Sample,16285,0,"dummy.wav",100
Sample,16457,0,"synth_0062.ogg",100
Sample,16628,0,"synth_0063.ogg",100
Sample,16885,0,"synth_0064.ogg",100
Sample,17314,0,"synth_0067.ogg",100
Sample,17657,0,"dummy.wav",100
Sample,18000,0,"synth_0072.ogg",100
Sample,18171,0,"synth_0073.ogg",100
Sample,18514,0,"dummy.wav",100
Sample,18685,0,"dummy.wav",100
Sample,18857,0,"dummy.wav",100
Sample,19028,0,"dummy.wav",100
Sample,19200,0,"dummy.wav",100
Sample,19371,0,"dummy.wav",100
Sample,19542,0,"dummy.wav",100
Sample,19714,0,"dummy.wav",100
Sample,20057,0,"synth_0054.ogg",100
Sample,20914,0,"dummy.wav",100
Sample,21085,0,"synth_0058.ogg",100
Sample,21257,0,"synth_0059.ogg",100
Sample,21257,0,"dummy.wav",100
Sample,21428,0,"dummy.wav",100
Sample,21600,0,"dummy.wav",100
Sample,21771,0,"dummy.wav",100
Sample,22114,0,"synth_0063.ogg",100
Sample,22285,0,"dummy.wav",100
Sample,23057,0,"synth_0069.ogg",100
Sample,23057,0,"violinR_0013.ogg",100
Sample,23142,0,"violinR_0014.ogg",100
Sample,31885,0,"snr2.ogg",100
Sample,32057,0,"violinR_0028.ogg",100
Sample,32571,0,"violinL_0030.ogg",100
Sample,33857,0,"violinL_0035.ogg",100
Sample,33857,0,"violinR_0035.ogg",100
Sample,34114,0,"violinL_0036.ogg",100
Sample,34114,0,"violinR_0036.ogg",100
Sample,37200,0,"dummy.wav",100
Sample,37885,0,"bass_0009.ogg",100
Sample,37885,0,"dummy.wav",100
Sample,38057,0,"dummy.wav",100
Sample,38914,0,"dummy.wav",100
Sample,39771,0,"dummy.wav",100
Sample,39942,0,"bass_0017.ogg",100
Sample,40114,0,"dummy.wav",100
Sample,40285,0,"bass_0017.ogg",100
Sample,40457,0,"dummy.wav",100
Sample,40971,0,"bass_0017.ogg",100
Sample,41828,0,"dummy.wav",100
Sample,42000,0,"bass_0017.ogg",100
Sample,42171,0,"dummy.wav",100
Sample,42342,0,"bass_0017.ogg",100
Sample,42514,0,"dummy.wav",100
Sample,42685,0,"bass_0025.ogg",100
Sample,42685,0,"dummy.wav",100
Sample,42857,0,"dummy.wav",100
Sample,43028,0,"dummy.wav",100
Sample,43200,0,"dummy.wav",100
Sample,43371,0,"dummy.wav",100
Sample,43371,0,"bass_0025.ogg",100
Sample,43371,0,"dummy.wav",100
Sample,43542,0,"snr2.ogg",100
Sample,43542,0,"dummy.wav",100
Sample,43714,0,"dummy.wav",100
Sample,44228,0,"dummy.wav",100
Sample,44400,0,"dummy.wav",100
Sample,44400,0,"bass_0029.ogg",100
Sample,44742,0,"bass_0029.ogg",100
Sample,45257,0,"dummy.wav",100
Sample,45257,0,"pepo_0000.ogg",100
Sample,45942,0,"dummy.wav",100
Sample,46628,0,"dummy.wav",100
Sample,47314,0,"pepo_0013.ogg",100
Sample,48000,0,"pepo_0017.ogg",100
Sample,48685,0,"dummy.wav",100
Sample,49371,0,"dummy.wav",100
Sample,50057,0,"pepo_0029.ogg",100
Sample,50742,0,"SPS_0192.ogg",100
Sample,50914,0,"dummy.wav",100
Sample,51257,0,"dummy.wav",100
Sample,51342,0,"dummy.wav",100
Sample,51514,0,"dummy.wav",100
Sample,51600,0,"dummy.wav",100
Sample,52114,0,"dummy.wav",100
Sample,52285,0,"SPS_0210.ogg",100
Sample,52628,0,"dummy.wav",100
Sample,52628,0,"dummy.wav",100
Sample,52885,0,"dummy.wav",100
Sample,52971,0,"SPS_0218.ogg",100
Sample,53485,0,"dummy.wav",100
Sample,53485,0,"SPS_0224.ogg",100
Sample,53657,0,"dummy.wav",100
Sample,53742,0,"dummy.wav",100
Sample,54000,0,"dummy.wav",100
Sample,54085,0,"dummy.wav",100
Sample,54257,0,"dummy.wav",100
Sample,54600,0,"dummy.wav",100
Sample,54942,0,"dummy.wav",100
Sample,55114,0,"dummy.wav",100
Sample,55285,0,"dummy.wav",100
Sample,55457,0,"dummy.wav",100
Sample,56228,0,"vocal2_0029.ogg",100
Sample,56400,0,"dummy.wav",100
Sample,56742,0,"dummy.wav",100
Sample,57257,0,"dummy.wav",100
Sample,57428,0,"dummy.wav",100
Sample,58285,0,"dummy.wav",100
Sample,58542,0,"dummy.wav",100
Sample,58885,0,"dummy.wav",100
Sample,59142,0,"dummy.wav",100
Sample,59314,0,"dummy.wav",100
Sample,59828,0,"dummy.wav",100
Sample,60000,0,"dummy.wav",100
Sample,60171,0,"dummy.wav",100
Sample,60514,0,"vocal2_0057.ogg",100
Sample,60514,0,"dummy.wav",100
Sample,60514,0,"dummy.wav",100
Sample,60685,0,"dummy.wav",100
Sample,60685,0,"dummy.wav",100
Sample,61028,0,"dummy.wav",100
Sample,61371,0,"dummy.wav",100
Sample,61371,0,"dummy.wav",100
Sample,62057,0,"dummy.wav",100
Sample,62228,0,"dummy.wav",100
Sample,62571,0,"dummy.wav",100
Sample,62828,0,"vocal2_0005.ogg",100
Sample,63257,0,"dummy.wav",100
Sample,63600,0,"dummy.wav",100
Sample,63857,0,"vocal2_0011.ogg",100
Sample,64028,0,"dummy.wav",100
Sample,64114,0,"dummy.wav",100
Sample,64114,0,"dummy.wav",100
Sample,64285,0,"dummy.wav",100
Sample,64371,0,"dummy.wav",100
Sample,67371,0,"dummy.wav",100
Sample,67371,0,"dummy.wav",100
Sample,67542,0,"dummy.wav",100
Sample,67714,0,"dummy.wav",100
Sample,67714,0,"dummy.wav",100
Sample,67885,0,"dummy.wav",100
Sample,68142,0,"dummy.wav",100
Sample,68228,0,"laykick_0000.ogg",100
Sample,68228,0,"dummy.wav",100
Sample,68400,0,"dummy.wav",100
Sample,68400,0,"dummy.wav",100
Sample,68742,0,"dummy.wav",100
Sample,68914,0,"dummy.wav",100
Sample,68914,0,"dummy.wav",100
Sample,69257,0,"dummy.wav",100
Sample,69428,0,"dummy.wav",100
Sample,69428,0,"dummy.wav",100
Sample,69771,0,"vocal2_0048.ogg",100
Sample,69771,0,"dummy.wav",100
Sample,69771,0,"dummy.wav",100
Sample,70114,0,"dummy.wav",100
Sample,70285,0,"laykick_0000.ogg",100
Sample,70285,0,"dummy.wav",100
Sample,70285,0,"dummy.wav",100
Sample,70457,0,"dummy.wav",100
Sample,70800,0,"dummy.wav",100
Sample,70800,0,"dummy.wav",100
Sample,70971,0,"laykick_0000.ogg",100
Sample,70971,0,"dummy.wav",100
Sample,71142,0,"dummy.wav",100
Sample,71314,0,"laykick_0000.ogg",100
Sample,71314,0,"dummy.wav",100
Sample,71485,0,"dummy.wav",100
Sample,71657,0,"vocal2_0058.ogg",100
Sample,71657,0,"laykick_0000.ogg",100
Sample,71657,0,"dummy.wav",100
Sample,71657,0,"dummy.wav",100
Sample,72000,0,"dummy.wav",100
Sample,72171,0,"dummy.wav",100
Sample,72171,0,"dummy.wav",100
Sample,72342,0,"dummy.wav",100
Sample,72514,0,"dummy.wav",100
Sample,72514,0,"dummy.wav",100
Sample,73028,0,"laykick_0000.ogg",100
Sample,73028,0,"dummy.wav",100
Sample,73028,0,"dummy.wav",100
Sample,73200,0,"dummy.wav",100
Sample,73542,0,"dummy.wav",100
Sample,73542,0,"dummy.wav",100
Sample,73714,0,"dummy.wav",100
Sample,73885,0,"dummy.wav",100
Sample,74228,0,"dummy.wav",100
Sample,74400,0,"dummy.wav",100
Sample,74400,0,"dummy.wav",100
Sample,75085,0,"dummy.wav",100
Sample,75257,0,"dummy.wav",100
Sample,75771,0,"dummy.wav",100
Sample,75771,0,"dummy.wav",100
Sample,75942,0,"dummy.wav",100
Sample,76285,0,"dummy.wav",100
Sample,76285,0,"dummy.wav",100
Sample,76457,0,"dummy.wav",100
Sample,76628,0,"dummy.wav",100
Sample,76800,0,"dummy.wav",100
Sample,77142,0,"dummy.wav",100
Sample,77142,0,"dummy.wav",100
Sample,77828,0,"dummy.wav",100
Sample,78000,0,"dummy.wav",100
Sample,79028,0,"synth2_0004.ogg",100
Sample,81428,0,"synth2_0007.ogg",100
Sample,81771,0,"synth2_0009.ogg",100
Sample,89142,0,"dummy.wav",100
Sample,89142,0,"dummy.wav",100
Sample,89314,0,"amen_0001.ogg",100
Sample,89314,0,"dummy.wav",100
Sample,89657,0,"dummy.wav",100
Sample,89657,0,"amen_0004.ogg",100
Sample,89742,0,"amen_0005.ogg",100
Sample,89914,0,"dummy.wav",100
Sample,89914,0,"amen_0007.ogg",100
Sample,90000,0,"dummy.wav",100
Sample,90000,0,"dummy.wav",100
Sample,90000,0,"dummy.wav",100
Sample,90171,0,"dummy.wav",100
Sample,90514,0,"dummy.wav",100
Sample,90514,0,"dummy.wav",100
Sample,90514,0,"dummy.wav",100
Sample,90600,0,"amen_0012.ogg",100
Sample,90685,0,"dummy.wav",100
Sample,91028,0,"dummy.wav",100
Sample,91028,0,"dummy.wav",100
Sample,91028,0,"dummy.wav",100
Sample,91200,0,"amen_0017.ogg",100
Sample,91285,0,"amen_0018.ogg",100
Sample,91285,0,"dummy.wav",100
Sample,91371,0,"dummy.wav",100
Sample,91542,0,"dummy.wav",100
Sample,91542,0,"dummy.wav",100
Sample,91714,0,"dummy.wav",100
Sample,91885,0,"dummy.wav",100
Sample,91885,0,"amen_0022.ogg",100
Sample,91971,0,"amen_0023.ogg",100
