[General]
AudioFilename: virtual

[Metadata]
Title:HAELEQUIN
Artist:orangentle
Creator: 
Tags:bms of fighers
Version:36



[Events]
//Background and Video events
0,0,"title_haele.png",0,0
Video,0,"HAELEQUIN_BGA.mp4"
//Break Periods
//Storyboard Layer 0 (Background)
//Storyboard Layer 1 (Fail)
//Storyboard Layer 2 (Pass)
//Storyboard Layer 3 (Foreground)
//Storyboard Layer 4 (Overlay)
//Storyboard Sound Samples
Sample,0,0,"bgm2-1.ogg",85
Sample,0,0,"bgm1-1.ogg",85
Sample,1437,0,"drs_cym_002.ogg",100
Sample,1976,0,"drs_cym_002.ogg",100
Sample,2514,0,"drs_cym_002.ogg",100
Sample,3053,0,"drs_cym_002.ogg",100
Sample,3592,0,"drs_cym_002.ogg",100
Sample,3952,0,"drs_cym_002.ogg",100
Sample,4311,0,"drs_cym_002.ogg",100
Sample,4850,0,"drs_cym_002.ogg",100
Sample,5389,0,"drs_cym_002.ogg",100
Sample,5928,0,"drs_cym_002.ogg",100
Sample,6467,0,"drs_cym_002.ogg",100
Sample,7185,0,"drs_cym_002.ogg",100
Sample,11856,0,"pf_219.ogg",85
Sample,11946,0,"pf_220.ogg",85
Sample,12035,0,"pf_218.ogg",85
Sample,12125,0,"pf_215.ogg",85
Sample,12215,0,"pf_212.ogg",85
Sample,12305,0,"pf_215.ogg",85
Sample,12395,0,"pf_212.ogg",85
Sample,12485,0,"pf_207.ogg",85
Sample,12574,0,"pf_205.ogg",85
Sample,12664,0,"pf_201.ogg",85
Sample,12754,0,"pf_195.ogg",85
Sample,12844,0,"pf_189.ogg",85
Sample,12934,0,"pf_201.ogg",85
Sample,13023,0,"pf_195.ogg",85
Sample,13113,0,"pf_190.ogg",85
Sample,13203,0,"pf_183.ogg",85
Sample,13293,0,"pf_179.ogg",85
Sample,13383,0,"pf_170.ogg",85
Sample,13473,0,"pf_162.ogg",85
Sample,13562,0,"pf_154.ogg",85
Sample,13652,0,"pf_139.ogg",85
Sample,13742,0,"pf_143.ogg",85
Sample,13832,0,"pf_136.ogg",85
Sample,13922,0,"pf_130.ogg",85
Sample,14011,0,"PMW_026.ogg",85
Sample,14011,0,"drs_oneshotclap.ogg",100
Sample,14011,0,"pf_123.ogg",85
Sample,14071,0,"pf_129.ogg",85
Sample,14101,0,"PMW_027.ogg",85
Sample,14131,0,"pf_136.ogg",85
Sample,14191,0,"PMW_028.ogg",85
Sample,14191,0,"pf_129.ogg",85
Sample,14251,0,"pf_123.ogg",85
Sample,14281,0,"PMW_029.ogg",85
Sample,14311,0,"pf_116.ogg",85
Sample,14371,0,"pf_045.ogg",85
Sample,14371,0,"pf_084.ogg",85
Sample,14371,0,"drs_cym_012.ogg",100
Sample,14371,0,"drs_cym15.ogg",85
Sample,14371,0,"PMW_030.ogg",85
Sample,14371,0,"pf_013.ogg",85
Sample,14371,0,"drs_bd_000.ogg",85
Sample,14461,0,"pf_050.ogg",85
Sample,14550,0,"drs_HH.ogg",85
Sample,14550,0,"pf_056.ogg",85
Sample,14640,0,"pf_062.ogg",85
Sample,14730,0,"pf_071.ogg",85
Sample,14820,0,"pf_063.ogg",85
Sample,14910,0,"pf_011.ogg",85
